Generation, o25, o50, o75, n25, n50, n75 
0,326.524340745,355.947455913,371.868798208,13.1760188419,14.453420196,15.1446435451
1,238.270570856,273.91719714,276.065553838,9.34449099329,10.8920854075,10.9853560806
2,205.883665646,228.083249777,236.603835162,7.93841701593,8.90220955343,9.27212984386
3,147.644750598,177.366162888,190.492088438,5.40998083512,6.70033272643,7.27019336067
4,91.0934305308,92.5347102809,117.226735766,2.95481140741,3.01738441146,4.08938602005
5,69.9974621418,85.7189891376,89.0160731569,2.03893222767,2.72148061719,2.86462316232
6,58.4779827728,72.6504890005,95.9275607799,1.53881528015,2.15411310101,3.16468464792
7,45.3508496465,54.3507768614,67.4592130807,0.968902219106,1.3596330831,1.92873441995
8,24.4154834828,36.1442675599,52.8519979491,0.0599955675452,0.569199456268,1.29456375916
9,28.3180255488,31.9081578947,40.1869858583,0.229424008111,0.385289214558,0.744713632761
10,14.5114579653,25.443843914,32.592527368,-0.369986626205,0.104641724142,0.415001041021
11,14.1320054108,25.1393374827,30.9934944598,-0.386460517704,0.0914216104525,0.345579200728
12,15.0616083524,19.4279749327,25.4836580071,-0.346101906813,-0.156536575259,0.106370248677
13,12.5430668139,15.2654064944,20.0090114225,-0.455444114571,-0.337254032578,-0.131310939069
14,10.0081268989,11.9673775281,18.6030951383,-0.565498256067,-0.480437602481,-0.192348642074
15,7.96638122714,8.97742752167,23.6640812874,-0.654140422977,-0.610245957748,0.0273735227248
16,7.38503794397,8.80907455532,16.4999863954,-0.67937937857,-0.617554983525,-0.283654880066
17,6.98834453565,8.85998506563,14.2458065229,-0.696601779871,-0.615344709241,-0.381519854767
18,6.43019067914,10.4731855284,11.4151487379,-0.720833969019,-0.5453077861,-0.504412555517
19,5.7077111813,9.30543444924,11.102031579,-0.752200338065,-0.59600557256,-0.518006503014
