Generation, o25, o50, o75, n25, n50, n75 
0,283.1,283.54,283.76,-0.278940863173,-0.277820177832,-0.277259835161
1,300.83,303.04,303.2,-0.233782337931,-0.228153441102,-0.22774591916
2,315.12,317.78,319.02,-0.197385534451,-0.190610482159,-0.187452187105
3,327.99,329.18,329.65,-0.16460548821,-0.161574543763,-0.160377448057
4,338.41,338.54,339.46,-0.138065621711,-0.137734510133,-0.135391258964
5,346.05,346.64,348.12,-0.118606448962,-0.117103711799,-0.113334133832
6,352.69,354.47,368.02,-0.101694288352,-0.0971606067432,-0.0626485922466
7,359.8,489.58,544.1,-0.0835850320372,0.246966203489,0.38582930536
8,427.88,605.47,670.62,0.0898155544523,0.54213944039,0.70807728131
9,492.29,772.13,791.72,0.253868606388,0.966624483638,1.01652045146
10,353.71,668.52,987.73,-0.0990963359696,0.702728555816,1.51576030102
11,357.99,949.88,1319.5,-0.0881951240105,1.41935589152,2.3607825187
12,360.64,363.06,546.45,-0.0814455418396,-0.0752817724609,0.391814783889
13,539.55,612.86,910.99,0.374240400123,0.560961860105,1.3203025894
14,365.13,1141.67,1860.39,-0.0700094573311,1.90784734984,3.73843591509
15,1372.34,2368.43,2660.54,2.49536664017,5.03241996268,5.77642767889
16,1933.23,3336.69,3357.36,3.92396027936,7.49858993733,7.55123667826
17,2263.13,4218.34,4304.92,4.76421958434,9.74416319054,9.96468350162
18,2797.07,5000.89,5373.71,6.12417124636,11.7373275407,12.6869046067
19,3504.9,5784.06,5901.28,7.9270228494,13.7320710383,14.0306318014
