Generation, o25, o50, o75, n25, n50, n75 
0,260.081632653,260.448979592,263.035714286,-0.337568924248,-0.336633287136,-0.330044842467
1,185.58,194.793103448,200.104166667,-0.527325487064,-0.503859600734,-0.490332258241
2,92.2407407407,92.4222222222,106.764705882,-0.765061713533,-0.764599477997,-0.728068997997
3,45.7,54.4285714286,60.05,-0.883601545203,-0.86136976781,-0.847051920995
4,36.4418604651,40.3333333333,42.320754717,-0.907182138992,-0.897270510354,-0.892208523963
5,25.7346938776,30.7307692308,38.3846153846,-0.934453422275,-0.921728357698,-0.902233918627
6,27.612244898,27.74,36.3703703704,-0.929671277033,-0.929345883237,-0.907364225131
7,35.6041666667,37.3673469388,38.125,-0.909315755266,-0.904824913708,-0.902895162163
8,28.4545454545,31.16,41.8095238095,-0.92752592729,-0.920635101718,-0.893510635291
9,37.2244897959,39.847826087,40.9807692308,-0.905188772585,-0.898507103205,-0.895621483264
10,29.2608695652,35.9361702128,39.6595744681,-0.925472209991,-0.908470138204,-0.898986582364
11,32.1964285714,36.8461538462,40.3541666667,-0.917995305565,-0.906152398842,-0.897217447601
12,34.9107142857,37.693877551,38.0384615385,-0.911081986899,-0.903993236275,-0.903115576676
13,37.1020408163,44.8775510204,46.0784313725,-0.905500651623,-0.885696332739,-0.882637675903
14,32.4081632653,32.7291666667,38.2916666667,-0.917456014729,-0.916638415169,-0.90247066014
15,32.5957446809,35.7115384615,41.4716981132,-0.916978242586,-0.909042278001,-0.89437108144
16,36.1063829787,39.96,41.2608695652,-0.908036604223,-0.898221394887,-0.894908064311
17,23.7959183673,35.3541666667,45.9215686275,-0.939391507037,-0.909952508301,-0.883037207219
18,28.9791666667,31.4081632653,51.28,-0.926189710694,-0.920003026869,-0.869389217462
19,35.8979591837,40.0204081633,46.4130434783,-0.908567462159,-0.898067534561,-0.881785414808
