Generation, o25, o50, o75, n25, n50, n75 
0,15192.7667509,15981.232361,21006.9507848,1526.33596588,1605.60078341,2110.83861329
1,10547.9902561,14304.6570993,15399.6221437,1059.39440677,1437.05388615,1547.13123553
2,6372.31452548,9246.31705098,17480.5888592,639.611767447,928.536589057,1756.33179527
3,1253.45112966,1874.06660986,4970.83976254,125.010029852,187.400795105,498.720852329
4,6900.83304074,7152.759353,7934.75668346,692.743981627,718.070251937,796.684810273
5,7320.42546324,7542.49914863,10143.9652333,734.925804623,757.250976353,1018.77758177
6,8202.51129944,16013.8363187,23272.2157179,823.602307378,1608.87847457,2338.56675927
7,10500.483281,10514.3197633,11349.2491319,1054.61850829,1056.00949633,1139.94533729
8,16180.5872905,17078.0850453,17975.5828001,1625.64202795,1715.86789811,1806.09376827
9,10369.4800603,14572.8477357,18776.2154111,1041.44869307,1464.01521659,1886.5817401
