Generation, o25, o50, o75, n25, n50, n75 
0,282.1,283.99,284.67,-0.281487875313,-0.276674022369,-0.274942054113
1,300.91,305.24,486.24,-0.23357857696,-0.222550014394,0.238459182941
2,315.54,320.11,544.78,-0.196315789352,-0.184675943873,0.387561273615
3,325.96,331.54,656.13,-0.169775922854,-0.155563595113,0.671171075401
4,339.43,339.92,826.32,-0.135467669328,-0.13421963338,1.1046470715
5,346.28,406.24,991.86,-0.11802063617,0.0346982117432,1.52627946116
6,353.39,413.95,1322.74,-0.0999113798544,0.0543356753424,2.36903483803
7,301.12,359.49,479.22,-0.233043704411,-0.0843746058006,0.220579157719
8,301.64,317.14,364.21,-0.231719258098,-0.192240569928,-0.0723527084999
9,316.09,330.58,369.78,-0.194914932675,-0.158008726767,-0.0581658508802
10,329.71,340.31,373.73,-0.160224627329,-0.133226298645,-0.0481051529273
11,340.52,349.46,542.1,-0.132691426096,-0.109921137565,0.38073528108
12,349.25,357.01,711.79,-0.110456010114,-0.0906911959077,0.812937771112
13,356.25,364.0,982.82,-0.0926269251341,-0.0728875810493,1.50325447141
14,420.37,427.29,1193.29,0.0706874932811,0.0883128172897,2.03932411651
15,538.06,1703.85,1782.24,0.370445352035,3.3397266347,3.53938691635
16,2350.23,2911.35,3361.5,4.98606434173,6.41524379371,7.56178130852
17,3293.69,4258.91,4394.4,7.38906841531,9.84749547306,10.1925901479
18,4146.8,5134.65,5542.09,9.56194994205,12.0780158845,13.1157705108
19,536.5,5289.12,5873.65,0.366472013096,12.4714528498,13.960257856
