Generation, o25, o50, o75, n25, n50, n75 
0,6225.97076306,6463.10208278,6583.38946813,447.905296152,465.002951981,473.675919844
1,4245.79692649,4257.33209244,4369.52650351,305.130690172,305.96239936,314.051847134
2,2927.07052558,3189.175225,3396.31565898,210.047804615,228.94609248,243.881343768
3,2342.56844446,2524.59073251,2672.56682884,167.904002498,181.028183808,191.697564676
4,1860.15992407,2007.35649553,2258.16253759,133.121356072,143.734531594,161.818163026
5,1459.11504614,1467.21117095,1683.00541285,104.205195597,104.788942846,120.348151483
6,758.383005037,988.679752324,1109.22077486,53.6809743298,70.2858434302,78.977099056
7,744.006466558,912.365713306,1131.3449531,52.6443963391,64.783444272,80.572297807
8,780.434098226,984.618415425,1121.03601722,55.2709034983,69.9930126874,79.8290023286
9,872.50753164,959.863595373,1019.81964226,61.9095874027,68.2081392517,72.531093536
10,655.551072948,666.275552591,842.06583947,46.2665805452,47.0398375832,59.7146787919
11,595.79217158,646.962366152,655.346374457,41.9578408583,45.647317122,46.2518213631
12,501.491653285,525.433999307,582.58710537,35.1585795538,36.8848719411,41.0057284275
13,466.422251535,501.164202417,531.713415628,32.630003565,35.1349696728,37.3376307719
14,449.883874146,488.077336802,505.012518484,31.437552543,34.1913797479,35.4124411755
15,410.393295103,466.150369294,473.33638231,28.5902005789,32.6104002962,33.1285266133
16,391.695702002,412.779018367,436.007972902,27.2420656634,28.7622161326,30.4370715265
17,296.86985616,397.150033669,413.354683312,20.4049271623,27.6353341938,28.8037227591
18,296.58118139,307.826345818,309.027158774,20.3841131178,21.1949125994,21.2814936832
19,290.343784112,294.692762736,304.227620076,19.9343839464,20.2479542491,20.9354370724
