Generation, o25, o50, o75, n25, n50, n75 
0,5509.87810218,15703.2176484,18439.6006766,388.332183593,1108.60132023,1301.95622932
1,5611.55491145,6164.48503749,7835.11172184,395.516744384,434.587208259,552.634962298
2,9728.65102536,9991.46908167,10372.6480833,686.433891799,705.004815848,731.939214451
3,10420.0335646,11056.7397115,28624.2163918,735.287508649,780.277649971,2021.60893341
4,9776.82128579,11426.2773012,21738.8270076,689.837639093,806.389457538,1535.0820749
5,7702.86369514,10907.9866902,17094.5299036,543.290215997,769.766648179,1206.91250395
6,13924.4412881,14047.1200036,14643.8119135,982.911627713,991.580199196,1033.74290405
7,8582.13666768,10383.5847949,13195.1259523,605.420313982,732.71201082,931.37765056
8,4291.96468819,6768.00936849,9244.0540488,302.273494072,477.232697194,652.191900316
9,6049.05406812,6049.05406812,6049.05406812,426.430768039,426.430768039,426.430768039
