Generation, o25, o50, o75, n25, n50, n75 
0,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
1,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
2,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
3,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
4,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
5,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
6,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
7,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
8,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
9,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
10,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
11,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
12,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
13,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
14,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
15,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
16,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
17,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
18,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
19,13960.4818861,16742.7112929,21291.3475242,1005.57945467,1206.18391675,1534.14994361
