Generation, o25, o50, o75, n25, n50, n75 
0,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
1,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
2,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
3,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
4,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
5,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
6,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
7,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
8,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
9,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
10,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
11,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
12,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
13,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
14,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
15,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
16,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
17,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
18,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
19,2235.15430321,3893.89539145,5455.50447126,198.698542602,346.897786565,486.418828537
