Generation, o25, o50, o75, n25, n50, n75 
0,4077.70830252,4127.08798701,4171.79509066,363.320442665,367.732241445,371.726571245
1,2861.21053762,3117.41403793,3474.26859126,254.633167527,277.523518116,309.406477659
2,1616.01086647,2387.42971219,3900.8618169,143.381537507,212.303499183,347.520197737
3,1529.9837345,1915.24413152,1970.34069239,135.695494152,170.116357042,175.038926769
4,1411.91040673,1595.43445711,1940.04048846,125.14630234,141.543150352,172.331772924
5,641.548927763,925.777910489,1929.85476396,56.3188104724,81.7130812546,171.421735377
6,619.896522393,689.248646875,1267.5883232,54.3842890884,60.5805137362,112.251930929
7,474.475558036,631.618827024,1233.95815461,41.3917388182,55.4316114801,109.247263357
8,750.076159786,760.01952957,1596.98656433,66.0151119923,66.9034964996,141.681822456
9,538.863643106,603.973698731,697.335262349,47.1444542933,52.9616738018,61.3030076251
10,470.481842914,541.615049152,611.821684118,41.0349226968,47.3902770434,53.6628474264
11,290.302074148,373.000386567,579.031546251,24.9368675525,32.3254994881,50.733231903
12,284.935028704,290.025886001,330.746358706,24.4573520435,24.9121916854,28.5503382964
13,150.802680799,217.734902072,295.649693043,12.4733765507,18.453396374,25.4146474079
14,130.267902301,220.221055025,294.79003993,10.6387088802,18.6755202429,25.3378422077
15,125.137373548,173.391119558,173.674957933,10.1803248155,14.4915272857,14.5168866579
16,123.129279176,162.847796329,172.562682228,10.0009128084,13.5495402918,14.4175110411
17,53.8159791079,114.869073255,140.296342932,3.80815690492,9.26290958349,11.5346939921
18,52.713454037,107.211048471,139.927504715,3.7096524529,8.578707877,11.5017403592
19,51.523723392,84.0290976656,109.687263239,3.60335667029,6.50753015838,8.79994382465
