Generation, o25, o50, o75, n25, n50, n75 
0,6499.04797247,6855.90725592,7140.94871508,458.227680082,483.443628872,503.584875493
1,4510.09066688,4537.71929106,4837.78655938,317.686441873,319.638701503,340.841683245
2,2697.97764261,3981.16333217,4505.36448796,189.641155286,280.312033517,317.352486471
3,2333.88951536,2725.55188254,2909.73704797,163.914410887,191.589572082,204.604236166
4,1966.11075685,2264.79030979,2317.0677299,137.926883673,159.031808388,162.725770713
5,1929.56249888,2050.95624336,2055.75288195,135.344355925,143.922130377,144.261064513
6,1484.6067285,1680.74079429,1762.94138761,103.903442266,117.76242475,123.570781287
7,1181.7420471,1442.86406647,1651.18770404,82.5027931852,100.953873972,115.674180883
8,1187.370155,1815.86771154,1935.22436733,82.9004795762,127.31059565,135.744427863
9,1033.96302552,1574.55794939,1726.08142548,72.0606149566,110.25946405,120.966228287
10,938.460467638,1372.33483549,1411.10750791,65.3123314719,95.9702247879,98.7099313548
11,741.549842387,1001.78769563,1190.40445505,51.3984767042,69.7870816381,83.1148855294
12,757.193980652,939.248453889,1165.02465788,52.5039034302,65.3680111806,81.3215297289
13,686.124586065,775.971662504,837.146804891,47.4820858749,53.8307487329,58.1534308913
14,575.20295893,797.925808142,901.819693636,39.6442792121,55.3820453862,62.7232664715
15,551.968814845,768.551442865,987.895175258,38.0025368936,53.3064303611,68.805425567
16,510.711343164,711.539564944,714.19553452,35.0872525186,49.2779276411,49.4656004744
17,470.612080919,729.914935166,949.356530981,32.2538081046,50.5763452976,66.0822556073
18,445.23353354,668.573678675,705.625642872,30.4605406159,46.2419253901,48.8600454029
19,438.692426414,644.435837703,647.304222836,29.998341004,44.5363271612,44.7390094395
