Generation, o25, o50, o75, n25, n50, n75 
0,6668.62884335,6813.82138835,7043.9612976,689.486140582,704.519731803,728.348980884
1,3820.92279016,3847.29712744,4035.46748958,394.627690912,397.3585543,416.842173823
2,2810.31675837,2975.44579779,2981.08857076,289.987070638,307.084935253,307.669201766
3,1839.34631845,2379.88011671,2440.9702096,189.450416488,245.418607998,251.74402563
4,1105.91796605,1452.31834617,1990.91486235,113.509451061,149.376593644,205.14419423
5,927.523127002,1378.20750221,1575.76138392,95.038013107,141.7029756,162.15818769
6,903.963604594,1181.04355073,1189.93477864,92.598602535,121.288137841,122.208757324
7,775.238332627,776.248272663,838.769636017,79.2700730391,79.3746447006,85.848259577
8,640.259316196,683.928302453,845.329502889,65.294015546,69.8156091887,86.5274842372
9,600.72765276,643.751300256,812.497212705,61.2008104273,65.6555841163,83.1279486102
10,546.106341392,619.815517828,735.37335523,55.5451862553,63.1772146615,75.1423557777
11,491.480316308,547.115951684,605.806541121,49.8890740138,55.6497237743,61.7266909501
12,462.668246422,465.77659159,573.697368257,46.9058018291,47.2276474902,58.4020286591
13,396.611444469,450.035619669,591.232526502,40.0661189931,45.5977887582,60.2176618313
14,366.793959848,447.080080934,514.295696753,36.9787437078,45.291765049,52.2514343069
15,355.19219525,439.72655467,514.972491912,35.7774686257,44.5303629543,52.3215113329
16,305.605928805,439.346041689,466.610013772,30.6431853199,44.4909637096,47.3139420613
17,290.648156691,414.991201156,435.117405064,29.0944210115,41.9692039537,44.0531203311
18,249.024504755,357.020931458,384.858626972,24.7846062868,35.9668204454,38.8492035245
19,223.953763144,313.041752879,364.436615126,22.1887203823,31.4131087311,36.7346584697
