Generation, o25, o50, o75, n25, n50, n75 
0,128.122488344,133.045940396,213.372068024,4.56242393659,4.77617507345,8.26352519308
1,121.603560051,475.443703559,522.800361591,4.2794053717,19.6413368282,21.6973210008
2,159.896165353,231.102236293,335.157705084,5.94187467807,9.03327852564,13.5508354184
3,282.607740473,463.858534629,481.481808483,11.2693844038,19.1383679755,19.9034804986
4,153.748210977,198.768887527,607.914354062,5.67496190557,7.62952969548,25.3925357533
5,108.84940629,131.446793978,178.701647923,3.72568516935,4.70674830516,6.75831266438
6,341.5247771,536.096179878,601.127550906,13.8272611594,22.2745575098,25.0978874303
7,383.312093788,459.433438033,540.316064285,15.6414529816,18.9462528867,22.4577633337
8,374.075472388,437.831284092,501.587095795,15.2404460652,18.008397716,20.7763493669
9,80.0188393529,116.9728609,153.926882448,2.47400923246,4.07836407028,5.6827189081
10,382.109026483,563.838946451,745.56886642,15.589221945,23.4790067119,31.3687914787
11,540.590152814,540.590152814,540.590152814,22.4696628575,22.4696628575,22.4696628575
12,438.687992821,438.687992821,438.687992821,18.0455916326,18.0455916326,18.0455916326
13,316.445983844,316.445983844,316.445983844,12.73846807,12.73846807,12.73846807
14,249.665579396,249.665579396,249.665579396,9.83920405324,9.83920405324,9.83920405324
