Generation, o25, o50, o75, n25, n50, n75 
0,6667.63493589,8162.63359017,9330.96735955,470.140163331,575.777906988,658.333261056
1,4796.21474095,4998.82409245,5499.55266932,337.904186889,352.220717994,387.602580643
2,4054.21904205,4148.82428257,4567.18026435,285.474205624,292.15908398,321.720436316
3,3523.96511764,4034.79620638,4236.6716915,248.006059429,284.101773262,298.366448809
4,3381.80744332,3675.34300275,3704.43532291,237.961089879,258.702536096,260.758221598
5,2554.14088511,2677.68245767,3006.10252173,179.47754044,188.207082059,211.413493945
6,2267.87617448,2318.85163912,2543.04362227,159.249857938,162.851823098,178.693399395
7,1638.48345541,1695.32937043,1792.42536933,114.776488998,118.793264653,125.654141894
8,1211.23105751,1549.50586872,1620.61410155,84.5865091224,108.489264948,113.513826843
9,1171.17165665,1277.87848331,1387.07431729,81.7558813446,89.2958669951,97.0117277987
10,1068.34500674,1137.7984495,1592.9545519,74.4900719382,79.3977051068,111.559381996
11,1029.84385945,1108.05035601,1168.84326214,71.7695515447,77.2956821613,81.5913552149
12,911.82968847,975.763729055,998.76096853,63.4305803311,67.9482083377,69.573210796
13,886.891740522,889.591452434,903.604094165,61.6684459338,61.8592096339,62.8493535721
14,770.973050168,814.079884231,855.775971115,53.4775429777,56.5235047073,59.4697819666
15,781.726521142,806.121077205,878.277786806,54.2373914278,55.9611293406,61.059777403
16,642.714575031,689.956099443,825.742816374,44.4147014296,47.7528235286,57.3476163762
17,606.056199484,665.820817422,824.434172769,41.8243926907,46.0474061171,57.2551466223
18,519.127567398,540.100984768,759.43555859,35.6819493336,37.1639469806,52.6622950347
19,421.567500153,493.599019105,655.065453596,28.7882806703,33.878082666,45.2874239167
