Generation, o25, o50, o75, n25, n50, n75 
0,6129.08885721,6256.52446917,6789.1411608,440.919911496,450.108281199,488.511040028
1,4060.06811861,4080.31211363,4276.27303395,291.73926116,293.198894834,307.328080196
2,2868.97774694,2908.37710329,2914.9614816,205.859195804,208.699970424,209.174717642
3,2237.13590024,2370.29294899,2374.74543844,160.30209923,169.902996292,170.224029938
4,1852.69182322,2044.80401269,2139.9818875,132.582890642,146.434574595,153.297095108
5,1527.28875081,1552.52738536,1619.46578413,109.120659907,110.940417364,115.766813578
6,1287.97925737,1317.67226112,1388.58269081,91.8659532738,94.0068799102,99.1196677228
7,981.886622376,1226.37798877,1273.47932443,69.7960447904,87.4243751211,90.820478289
8,885.522779439,1014.90832499,1214.18632945,62.8480135358,72.1769774606,86.5453314107
9,765.082163075,914.011016351,1101.82170179,54.1639974016,64.9020740052,78.4436106709
10,818.670059531,1050.13845308,1078.88804664,58.0277949432,74.7171421487,76.7900469697
11,691.607240548,819.285799189,871.353420213,48.8663043812,58.072191039,61.8263735954
12,676.247385699,682.930876915,693.193707585,47.758827258,48.2407207198,48.9806919172
13,616.304888781,645.636935406,684.267330842,43.4368499544,45.5517508394,48.3370817964
14,499.501447245,610.534156448,615.495080592,35.0150816053,43.0207682852,43.3784611185
15,406.306091833,502.511888153,537.897519718,28.2955048175,35.232140586,37.7835173948
16,341.493795188,463.293480382,541.970292749,23.6224049384,32.4044127303,38.0771727063
17,344.131036347,434.198950297,446.892240943,23.8125554497,30.3066372763,31.2218496365
18,308.820978405,387.252155441,399.805024731,21.2666276545,26.9216768179,27.8267645096
19,262.443199486,275.224501766,351.266554835,17.9226944154,18.8442525954,24.3270410074
