Generation, o25, o50, o75, n25, n50, n75 
0,4062.71394962,4111.84219405,4518.270528,361.980781051,366.370115067,402.682214793
1,3064.71344141,3226.20537919,3624.55343342,272.81501441,287.24341632,322.833588222
2,2186.28450469,2549.5132736,3229.86884958,194.332299284,226.784759357,287.57072692
3,1914.68678087,1977.95415802,2305.81535612,170.066560877,175.719147364,205.011712688
4,1444.00270493,1831.18448632,1904.86850116,128.01356979,162.606097632,169.189352468
5,884.02173242,1702.54878485,1767.90743201,77.9824001588,151.113216773,156.952646545
6,985.832967765,1251.70082043,1924.14701617,87.0786649177,110.832471367,170.911780018
7,1090.08237426,1185.77821838,1678.96583207,96.3927666395,104.942655377,149.006211769
8,1135.61769531,1233.52145129,1688.55450282,100.461093036,109.208246356,149.8629059
9,776.724823575,838.517483092,1494.072365,68.3960211373,73.9168498476,132.487014031
10,603.105875526,719.939878437,1623.22634002,52.8841386495,63.322603714,144.026199735
11,392.329589806,580.903358723,1605.75490481,34.0524557483,50.900467884,142.465224663
12,472.253124357,544.966038179,1109.68176006,41.1931767923,47.6896691811,98.1438622011
13,351.769750957,378.542183638,1140.77465339,30.4286608744,32.8206280781,100.921838413
14,336.668237749,357.028367827,896.561117236,29.0794250859,30.8984888964,79.1027240977
15,338.227087215,356.285787013,842.553581307,29.2186995718,30.8321434516,74.2774526616
16,311.079129701,378.148092165,775.2114434,26.7931813235,32.7854182079,68.2608090785
17,289.052991521,373.386934396,452.344204949,24.825269002,32.3600353759,39.4144261329
18,319.482687735,368.562504748,430.948445617,27.5439922584,31.9289995551,37.5028346377
19,270.39667997,341.440105102,376.386526642,23.1584318527,29.5057647594,32.6280321755
