Generation, o25, o50, o75, n25, n50, n75 
0,3387.0109816,5189.39260853,8931.1569306,238.328775858,365.686434497,630.08235161
1,7968.96738164,9277.71419781,10946.7636621,562.093305177,654.570352085,772.506658555
2,9412.33875227,10059.078767,12032.0445494,664.083025647,709.782167714,849.193432712
3,4686.25549857,4986.76449624,12508.8109183,330.134383066,351.36857774,882.882107492
4,3668.54380136,5967.60276687,9773.65176303,258.222099346,420.675357051,689.6136782
5,4939.63761657,6234.97387915,13727.9890569,348.038556526,439.568003502,969.030163416
6,7277.94413601,10991.9615271,14705.9789182,513.265076286,775.700374121,1038.13567196
7,6397.04602774,7135.90620902,7874.7663903,451.020144973,503.228568174,555.436991376
8,8839.3149575,8839.3149575,8839.3149575,623.592727834,623.592727834,623.592727834
9,20734.0162035,20734.0162035,20734.0162035,1464.08137811,1464.08137811,1464.08137811
