Generation, o25, o50, o75, n25, n50, n75 
0,4968.01187606,6083.55170015,6876.08177108,498.436563575,610.582305207,690.255724882
1,3920.78541369,4537.78694054,4665.07449222,393.158396231,455.18584906,467.982126319
2,2442.88192764,2663.75925239,2953.2541902,244.584065738,266.788966772,295.892028625
3,2076.22754073,2150.87377379,2557.18293509,207.724128285,215.228349099,256.074799617
4,1575.0251768,1604.64183513,1871.72515321,157.338019608,160.315396159,187.16540737
5,1326.79888396,1432.9943813,1446.67851372,132.383713987,143.059597133,144.435269382
6,1086.8928943,1203.63547875,1294.2148062,108.265852346,120.002039106,129.10802137
7,864.628942965,947.892281834,966.712622532,85.921553091,94.2920555927,96.1840732685
8,768.605182471,773.328792205,837.717103962,76.2682394197,76.7431061212,83.2160932961
9,767.895848348,774.615288584,1078.4425762,76.1969297276,76.8724382055,107.416337904
10,674.618468627,759.8642865,1044.30819779,66.8197110032,75.3895130488,103.984792836
11,615.996714499,616.302248632,716.871947827,60.926438571,60.9571540606,71.0674730814
12,476.487219186,481.842171687,530.220309422,46.9014835863,47.4398194723,52.303296345
13,430.244223916,474.351907107,513.205743205,42.2526535868,46.6868196616,50.5928140246
14,339.507318051,491.575558133,495.986456505,33.1308298906,48.4183213761,48.8617510578
15,306.208867117,441.530270133,467.882173252,29.7833210033,43.3872451055,46.0364142834
16,301.2483923,427.933964976,435.506757976,29.2846421438,42.0204021723,42.7816986037
17,260.652416437,413.007291887,416.930301549,25.2035096534,40.5198167269,40.9141987279
18,248.77263793,310.17202659,389.844150679,24.0092299493,30.1817392837,38.1912152793
19,241.608540478,318.857107568,375.680049112,23.289019873,31.054854547,36.7672915068
