Generation, o25, o50, o75, n25, n50, n75 
0,6131.7412831,6174.70015117,6692.56282283,615.426826578,619.74550173,671.806478956
1,3808.11043105,3970.40979073,4153.08743936,381.83112739,398.147158126,416.511827807
2,2733.74880332,2825.04079079,3281.18089273,273.825049148,283.002675458,328.858653807
3,2281.01312866,2295.36205001,2895.00495847,228.311319471,229.753823263,290.036206044
4,1658.77096658,1889.02801684,1970.31825611,165.757023126,188.904872365,197.077018237
5,1466.50281791,1500.67120681,1768.11617687,146.428215979,149.863180138,176.749548392
6,1196.02131474,1249.29906928,1415.81741894,119.236583627,124.592621275,141.332789053
7,844.60078539,976.523189742,983.383049361,83.9081130181,97.1703341906,97.859959095
8,842.918208809,1006.65497854,1019.45343714,83.7389628054,100.199497049,101.486132093
9,765.304274358,905.523878912,940.011803421,75.9363975791,90.0327401788,93.4998274023
10,711.932503786,711.968448466,739.269738605,70.5709084556,70.5745219912,73.3191334914
11,676.640650788,682.700272406,700.73722003,67.0230019242,67.632178527,69.4454413299
12,596.543986351,632.064414654,695.484907403,58.9708466882,62.5417320023,68.9174238785
13,468.437239582,485.458141435,648.559168926,46.0922153618,47.8033346068,64.1999573842
14,474.341715755,508.604724292,544.059027284,46.6857951202,50.1302714357,53.6945091412
15,396.989953192,476.919529186,477.104155663,38.9095861569,46.9449439134,46.9635044996
16,350.028781673,354.660011407,436.206417348,34.1885575624,34.6541372592,42.8520356885
17,330.969480366,351.971414827,400.137089727,32.2725170644,34.3838513843,39.2259692686
18,298.907471922,315.119412059,337.714301865,29.0493083205,30.6791022648,32.9505771326
19,274.651318856,295.255920408,313.635667678,26.6108258782,28.6822161344,30.5299407464
