Generation, o25, o50, o75, n25, n50, n75 
0,7063.90576849,7301.81500662,8073.06320198,816.754900816,844.296526059,933.58027533
1,4221.37429342,4235.85923111,4322.93132051,487.688500351,489.365352955,499.445276182
2,3222.96416959,3284.91266281,3388.3042861,372.107290954,379.278774492,391.247932833
3,2279.06201999,2820.54503261,2881.72785924,262.836211466,325.521134198,332.603980141
4,2151.41854502,2289.94722088,2563.74129974,248.059531166,264.096339597,295.792182824
5,1875.83720379,2019.06980417,2090.23118009,216.156785043,232.738144528,240.976159844
6,1461.41330884,1698.66768644,1869.05372064,168.180894336,195.646709479,215.371493341
7,1353.98432783,1380.99728893,1454.78344821,155.744350223,158.871512737,167.413386785
8,1383.56894377,1511.49658528,1777.84986939,159.169221033,173.978797946,204.81325562
9,1234.82093387,1341.60579936,1499.96879963,141.94936872,154.311346633,172.644280823
10,1178.14019126,1197.18041723,1469.1198618,135.387707711,137.591904456,169.073045458
11,1123.50021591,1153.39709152,1275.45375461,129.062296659,132.523316291,146.653237852
12,839.709065313,1061.89049179,1117.31701932,96.2091398051,121.930030814,128.346497287
13,715.659040681,760.707747237,844.326453295,81.8484562238,87.0635315333,96.7436729339
14,676.470215651,693.103954646,765.508690515,77.3117516335,79.2373607835,87.619313989
15,584.264514139,610.371989097,715.5535836,66.637534456,69.6598731302,81.8362479573
16,546.992031562,555.576247514,676.521569256,62.3226757515,63.3164297588,77.3176965971
17,539.073980731,556.492671269,565.449259869,61.4060405239,63.4225197948,64.4593816191
18,518.913379411,535.092571108,536.675427318,59.0721432335,60.9451315965,61.1283713601
19,481.226150003,504.853993698,567.492168554,54.7092712535,57.4445547653,64.6958794779
