Generation, o25, o50, o75, n25, n50, n75 
0,5663.17726601,6244.64322359,6451.43234322,585.379225129,645.585632527,666.997083738
1,3620.54731062,3667.29031113,3835.59500277,373.880323681,378.720208278,396.14688769
2,2252.76946544,2286.06438864,2625.65322909,232.257260278,235.704698059,270.866557166
3,1628.57757786,1962.54154324,2038.73913077,167.626905589,202.206351374,210.096035951
4,1294.32414211,1500.96287074,1579.70709178,133.017487333,154.413366694,162.566735933
5,952.833285791,1124.92059447,1448.6488997,97.6586888517,115.477029684,148.996650182
6,652.947933156,848.56407022,1124.56701682,66.6078259799,86.8623992497,115.440419389
7,655.04741163,813.482515805,942.0695466,66.825211116,83.2299693031,96.5441849698
8,624.40031267,785.67703075,864.919836562,63.651935533,80.3509213738,88.5559152997
9,596.432498046,693.388179757,802.531028564,60.756079603,70.7951080217,82.096025529
10,594.155782904,609.705802563,747.573822806,60.5203429489,62.1304300166,76.4056220303
11,498.883448382,543.306208718,586.66871388,50.6556124153,55.2552536697,59.7451135102
12,424.475176356,554.381056382,648.596021373,42.9511979419,56.4019704837,66.15721839
13,342.534589736,424.891156366,502.678017547,34.4668691928,42.9942695295,51.0485113874
14,334.086801978,349.124617472,480.616386686,33.5921645868,35.1492167825,48.7641961697
15,291.827212131,307.041182585,439.824852715,29.2165032954,30.7917950066,44.5405409743
16,293.890496014,339.193134572,389.928003152,29.4301407551,34.1208867526,39.3740991328
17,270.024424805,290.41978362,386.10001041,26.9589893704,29.0707747051,38.9777394018
18,260.821450261,262.885068724,335.747932095,26.0060908775,26.2197629804,33.7641620618
19,263.768742137,264.803899879,320.646773633,26.3112606868,26.4184434512,32.2005511802
