Generation, o25, o50, o75, n25, n50, n75 
0,7026.72213399,7244.10023178,7644.31414668,812.450327633,837.615160039,883.946028685
1,4677.61940159,5169.18060452,5242.22155856,540.505834756,597.411546118,605.867151286
2,3934.5838801,4165.80393184,4540.06235829,454.488133063,481.255382893,524.581507622
3,3677.28331453,3978.21046951,4322.06526413,424.701665722,459.538576609,499.345016939
4,2798.8565605,3252.20077893,3967.06156995,323.010362545,375.49187469,458.247921333
5,2744.98216752,3214.95313415,3772.79553484,316.773579336,371.179891339,435.758662913
6,2696.69734617,2701.1638303,2956.39097729,311.18387435,311.700938054,341.247375551
7,2011.80441901,2121.08803909,2332.90575876,231.897065313,244.548312206,269.069445983
8,1993.06046503,1997.74855343,2051.35966961,229.727166573,230.269884354,236.476189255
9,1677.2481963,1957.44517713,2040.66768832,193.167076595,225.604153444,235.238429242
10,1341.6519086,1690.2456406,1706.38726832,154.316684481,194.671729138,196.540368896
11,1363.77383126,1381.54551765,1475.39496243,156.87763465,158.934978577,169.799484125
12,1271.7288062,1289.11435249,1431.02064391,146.222018224,148.234660542,164.662479524
13,1148.6342857,1286.16677684,1340.03074118,131.971948829,147.893433675,154.12900961
14,989.82209551,1195.64987748,1323.87695072,113.58701405,137.414721121,152.258961828
15,840.219514281,978.274988738,1195.31744658,96.2682320636,112.250260211,137.376237171
16,833.498336013,847.523179091,858.47639706,95.4901531016,97.1137427327,98.3817448786
17,709.583561285,766.973666932,861.525605124,81.1451267609,87.7889073674,98.7347372485
18,629.009077266,717.034569162,846.083763472,71.8174005218,82.0076946386,96.9471084066
19,631.313723901,648.788190063,746.629785759,72.0841985429,74.1071346935,85.4337926368
