Generation, o25, o50, o75, n25, n50, n75 
0,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
1,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
2,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
3,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
4,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
5,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
6,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
7,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
8,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
9,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
10,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
11,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
12,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
13,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
14,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
15,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
16,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
17,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
18,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
19,13763.0375334,20069.6469417,20338.7787086,1424.05856786,2077.06033071,2104.9268921
