Generation, o25, o50, o75, n25, n50, n75 
0,108.270169769,112.262516209,125.576503606,6.04831080909,6.30820971408,7.17494079508
1,74.5796253356,77.4415157353,81.6894948987,3.85508040221,4.04138742548,4.31792783839
2,63.7429627338,69.0600475205,70.1620291513,3.149621398,3.49575982426,3.56749804224
3,59.3618702951,60.8138584933,65.8289490025,2.86441540583,2.95893880164,3.28541761589
4,45.1758165371,48.8449577545,58.1497920098,1.94091342691,2.17977190249,2.78550997419
5,25.1003760559,39.4405419871,43.2635505491,0.634016573944,1.5675511454,1.81642627535
6,33.2898098626,34.5171973809,41.3220126288,1.1671428722,1.24704492398,1.69003354188
7,28.803143436,29.738991175,37.2144027378,0.875064088736,0.935987108886,1.42263106846
8,25.2519809176,26.9638402524,30.1353942958,0.64388594228,0.755326763693,0.961792669244
9,25.33264155,28.4225569291,29.066279014,0.649136891906,0.850288178653,0.892194027133
10,21.1538784988,24.2440136025,26.089103364,0.377102398518,0.578267989181,0.698382016318
11,21.4401344922,21.6398801624,24.8122598541,0.395737459463,0.40874076009,0.615260414757
12,19.5686300509,20.4588979157,21.9031677702,0.27390385552,0.331859658376,0.425880595522
13,18.59088591,20.2204550047,22.327902526,0.210253409498,0.316337194982,0.453530525107
14,18.4224432142,20.7756993707,24.0413955679,0.199287910167,0.352483207079,0.565077699684
15,15.6679807387,19.8786762747,22.058892861,0.0199743681221,0.294087643492,0.436018187836
16,14.8089616858,20.7645173501,23.1076002748,-0.0359471593713,0.351755265516,0.504288292296
17,14.0680737236,19.4050985606,21.5144703795,-0.0841784371436,0.26325807217,0.400576672696
18,14.8033192189,15.4325464179,18.2827609142,-0.036314479944,0.00464776180621,0.190194692094
19,14.3284626082,14.4631470867,14.7927937462,-0.0672273065214,-0.058459443057,-0.0369996807079
