Generation, o25, o50, o75, n25, n50, n75 
0,39.9316277916,42.8025559472,50.4165004233,-0.768574153963,-0.751935539059,-0.70780852397
1,33.5156739761,50.7281864008,51.1060780591,-0.80575815126,-0.706002131518,-0.703812040566
2,27.3396306609,27.6039803128,43.2322782398,-0.841551734653,-0.840019682362,-0.749445060943
3,25.802370262,28.6851033671,37.9348625688,-0.850461008031,-0.833753976922,-0.78014651168
4,21.1346655784,21.7205991132,27.7721901993,-0.877512935668,-0.874117127095,-0.839044813131
5,18.9425412825,18.9690718404,21.621700678,-0.890217507153,-0.890063747912,-0.87469029817
6,15.3324271833,16.4285895715,17.1125425906,-0.911140113015,-0.904787246324,-0.900823360682
7,14.1427656152,16.4192895235,17.5626563114,-0.918034859113,-0.904841145241,-0.898214702973
8,11.2081207842,11.920398278,16.9526414748,-0.935042747355,-0.930914705732,-0.901750075996
9,9.22805887376,10.4360708261,12.6703147022,-0.946518300148,-0.939517203435,-0.926568525711
10,8.85071047374,9.39385511753,12.7714903962,-0.948705242619,-0.94555741931,-0.925982156662
11,4.61644148766,7.80700846959,10.7925210241,-0.973245170907,-0.954754072398,-0.937451377592
12,5.00976221943,7.36474399898,11.2419936012,-0.970965659949,-0.957317239365,-0.934846435666
13,4.64045504318,5.735814905,9.64789256038,-0.973105999085,-0.966757783479,-0.944085131968
14,4.06600500611,4.8224636318,7.15503531841,-0.976435254444,-0.972051158751,-0.958532617037
15,3.88895211665,5.80896169689,7.79890141214,-0.977461373764,-0.966333857405,-0.954801057275
16,3.71074340866,5.2515854647,7.2808491241,-0.97849419169,-0.969564160631,-0.957803456518
17,3.60644680796,5.01761623922,6.20578795575,-0.979098648117,-0.970920141565,-0.96403402998
18,3.85360792831,4.89977489656,5.80262961987,-0.977666212864,-0.971603097256,-0.96637055529
19,3.58852103042,4.63309970395,5.64216113427,-0.979202537902,-0.97314862734,-0.967300558825
