Generation, o25, o50, o75, n25, n50, n75 
0,2173.60688626,2560.47248312,2608.66233199,193.199624944,227.763903466,232.069397084
1,2455.8688497,4955.89345446,6522.75062299,218.418153549,441.781376984,581.771306347
2,1585.97301048,1992.4632017,2449.86434291,140.697822985,177.015449312,217.881684432
3,1868.0931428,1988.9915183,2126.17465318,165.903679771,176.705273807,188.961820062
4,936.524945043,1720.17915511,1726.65289418,82.6732687166,152.688391802,153.2667842
5,1630.56118723,2287.20908375,5481.42799316,144.681527331,203.34934626,488.734950308
6,3510.37002942,3767.5333797,5373.81319555,312.631939354,335.608047172,479.120169702
7,2169.11550439,2340.82578535,5761.89460422,192.798345081,208.139698834,513.793074213
8,582.885490769,780.257601302,1224.10631899,51.0775603023,68.7116550792,108.367056915
9,1852.84555335,1868.11174532,1883.37793728,164.541392887,165.905341802,167.269290717
10,479.244296628,479.244296628,479.244296628,41.8177989545,41.8177989545,41.8177989545
