Generation, o25, o50, o75, n25, n50, n75 
0,1071.06850228,1615.38003646,3275.57184725,94.6939834651,143.325176372,291.654034285
1,1706.64315703,2046.65476277,2122.60215649,151.479026039,181.857162366,188.642637453
2,1300.92988742,2869.87119464,3420.43900649,115.230813314,255.406948819,304.597105164
3,1815.44019122,1952.6313063,3413.65505892,161.199432874,173.456692116,303.99099737
4,1520.54279071,3992.65967747,4047.36406134,134.8519986,355.721823434,360.609354338
5,1159.29347863,5201.89916449,5457.72192822,102.576391928,463.760612017,486.616945921
6,1393.20975311,1730.22021768,2929.10633445,123.475503474,153.585504614,260.69927744
7,1445.50402361,2220.80186024,2674.05793501,128.147704221,197.416232052,237.912128656
8,3558.68587602,4199.42309926,5279.00169331,316.948690164,374.194979375,470.649291968
9,1340.62052946,2882.73491075,4794.42059438,118.776950312,256.556249946,427.35467956
10,2546.20855496,3106.9222649,3209.80097597,226.48950122,276.586136844,285.777774592
11,991.069738067,1267.38504336,1543.70034866,87.5465410709,112.233769012,136.920996953
12,576.346211505,576.346211505,576.346211505,50.4933122543,50.4933122543,50.4933122543
