Generation, o25, o50, o75, n25, n50, n75 
0,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
1,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
2,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
3,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
4,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
5,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
6,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
7,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
8,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
9,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
10,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
11,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
12,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
13,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
14,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
15,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
16,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
17,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
18,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
19,20355.9270604,23323.7985045,23344.7819815,2355.50922589,2699.08564069,2701.5147984
