Generation, o25, o50, o75, n25, n50, n75 
0,21997.749251,23388.8753485,24267.3201682,2276.70075957,2420.74135812,2511.69768325
1,7845.95992494,15752.7748511,19427.8467044,811.389880287,1630.08083624,2010.60676443
2,6740.98266525,7607.19904969,11253.354152,696.977832264,786.667995302,1164.19981236
3,10163.6576256,12434.7251266,13646.2372606,1051.36996884,1286.52185247,1411.96478195
4,8514.61128414,9993.090087,11234.1874887,880.623677408,1033.70898872,1162.21524917
5,3662.06352325,10619.095641,20841.0225013,378.179013877,1098.52713487,2156.93044278
6,2748.12163714,3576.75622281,5040.91215346,283.547235669,369.346087345,520.948373439
7,4408.20277449,5695.31291765,12093.9780902,455.436096859,588.706629097,1251.24007092
8,8449.28621138,10475.4434483,10830.6796968,873.859759602,1083.65303549,1120.43506549
9,5727.61619799,6048.79655508,6369.97691218,592.051389751,625.307189468,658.562989185
10,8717.36522316,12108.1838463,15499.0024694,901.61731615,1252.71096965,1603.80462316
