$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
1,0,0,0,-1,2,1,2,1,0,2,-1,2,3,-1,0,2,3,1,-1,2,-1,2,-1,0,3,3,3,0,-1,1,1,-1,0,2,1,1,2,3,3,0,3,2,0,-1,1,-1,3,3,0,96563.0,579,99487.0
3,1,2,1,3,2,0,2,2,-1,3,-1,0,2,1,-1,3,1,3,1,3,2,2,-1,0,2,0,1,0,1,-1,3,1,0,0,3,2,2,-1,3,3,2,0,2,-1,3,0,0,0,0,96673.0,629,99475.0
1,0,1,0,0,-1,0,-1,2,2,2,0,0,1,-1,3,-1,0,3,2,2,-1,1,2,3,-1,0,2,-1,2,0,2,3,1,0,1,1,-1,1,1,1,0,1,1,3,3,1,0,2,0,96221.0,608,99466.0
2,-1,1,1,3,0,3,-1,1,2,2,0,1,2,1,1,2,1,-1,0,0,3,1,0,1,0,1,-1,2,3,0,0,2,2,2,2,0,2,1,2,0,0,-1,0,-1,0,-1,2,1,-1,96239.0,611,99470.0
0,-1,-1,2,1,0,1,2,-1,0,2,1,2,3,-1,0,0,3,2,-1,3,2,-1,0,0,2,2,2,-1,0,2,0,-1,-1,-1,1,1,-1,0,-1,1,3,0,2,3,-1,3,0,3,1,96386.0,543,99510.0
2,0,2,2,0,0,2,2,2,2,2,0,1,2,-1,3,2,-1,-1,1,1,-1,3,1,3,1,1,0,0,2,-1,0,3,1,1,1,3,0,2,3,0,0,1,0,3,1,0,3,2,1,96155.0,653,99426.0
-1,0,3,-1,0,2,0,2,3,2,-1,0,3,3,1,1,1,1,2,2,-1,1,0,-1,1,2,0,2,1,1,2,3,2,0,-1,2,3,1,0,1,1,1,1,-1,2,-1,3,-1,1,-1,96508.0,570,99484.0
-1,1,1,1,0,0,0,3,1,0,2,2,-1,1,2,2,0,-1,3,0,0,-1,0,2,0,1,1,3,2,1,1,-1,2,2,0,3,-1,0,3,1,0,-1,2,0,1,2,2,1,3,-1,96537.0,600,99478.0
2,1,0,3,2,0,1,3,0,0,-1,1,2,0,1,-1,0,-1,-1,1,2,0,1,2,-1,0,2,2,2,3,1,1,1,2,-1,3,-1,2,3,0,0,0,3,0,3,1,0,0,3,1,96474.0,623,99456.0
2,3,2,0,-1,-1,2,2,0,2,1,3,0,1,0,2,1,2,1,0,0,3,2,2,2,0,1,3,-1,0,2,3,-1,1,3,2,1,0,-1,2,0,3,2,1,1,1,3,0,3,-1,96439.0,637,99445.0
1,3,0,-1,-1,1,2,-1,2,1,0,3,0,1,-1,0,-1,2,0,3,2,0,1,2,0,3,2,2,0,3,2,3,1,3,2,2,0,3,1,0,3,0,-1,2,0,0,1,-1,3,2,96357.0,633,99454.0
-1,0,0,1,0,2,0,1,2,0,0,-1,-1,2,0,3,3,-1,0,0,0,2,3,3,0,1,2,2,0,3,1,2,3,2,1,-1,-1,2,0,1,-1,3,2,1,2,1,-1,3,0,3,96463.0,616,99478.0
2,-1,0,0,2,1,0,0,2,0,-1,0,0,3,2,2,3,1,2,0,0,1,-1,2,0,3,3,1,1,1,2,-1,0,0,3,-1,3,2,3,2,3,1,1,-1,1,1,2,1,-1,2,96253.0,632,99470.0
2,2,0,1,-1,2,0,0,1,-1,-1,3,2,-1,1,2,3,2,3,3,2,0,1,1,2,3,1,-1,1,3,2,1,0,-1,-1,1,0,2,2,3,0,2,2,0,1,0,1,0,2,1,96394.0,616,99458.0
2,0,1,-1,3,0,0,2,-1,0,-1,1,2,-1,0,0,1,-1,1,3,-1,0,-1,2,2,-1,3,1,1,-1,3,1,1,0,2,1,-1,0,2,2,1,3,-1,0,0,0,3,1,2,0,96492.0,547,99522.0
3,0,3,-1,2,0,2,1,0,0,-1,2,2,2,3,1,1,-1,-1,-1,3,2,1,1,0,1,2,0,2,1,1,-1,2,0,1,1,-1,0,1,0,2,0,2,0,0,2,0,0,2,1,96338.0,624,99473.0
-1,2,3,-1,1,1,0,3,2,-1,0,-1,0,0,-1,0,1,2,2,2,0,1,3,-1,1,-1,3,3,0,2,3,3,1,-1,1,1,-1,-1,0,1,1,-1,1,2,-1,1,-1,1,1,-1,97081.0,526,99556.0
3,0,1,1,0,2,1,-1,3,3,0,1,0,0,-1,3,-1,2,1,1,1,3,3,0,2,1,-1,3,2,2,-1,0,-1,0,3,1,2,2,2,1,3,3,3,2,3,1,2,0,1,-1,96641.0,618,99447.0
3,0,2,3,3,1,-1,1,3,2,1,2,2,0,-1,0,-1,0,2,1,-1,0,0,3,1,-1,0,1,2,3,1,1,2,2,1,3,-1,3,-1,0,0,3,2,1,0,-1,1,0,-1,-1,96578.0,563,99486.0
1,1,-1,1,2,2,0,0,2,-1,0,3,0,2,2,2,0,2,2,-1,0,1,0,2,1,-1,3,-1,0,2,-1,1,1,-1,0,3,1,0,3,2,1,0,-1,0,1,1,1,1,0,1,96334.0,620,99480.0
2,2,-1,2,2,-1,2,1,3,-1,3,0,0,-1,0,0,3,2,1,1,0,1,1,-1,3,3,3,3,-1,-1,1,1,0,3,2,1,0,2,0,-1,0,2,0,0,2,3,3,0,0,2,96342.0,606,99467.0
0,-1,1,1,1,2,-1,3,0,3,-1,2,-1,-1,1,0,1,2,2,0,3,1,2,2,3,3,3,0,2,0,0,2,2,1,0,1,2,2,0,1,1,-1,1,-1,0,1,2,2,0,3,96261.0,616,99456.0
0,1,1,1,0,-1,0,1,0,3,1,2,2,0,2,0,0,1,1,3,3,-1,3,2,3,-1,1,3,0,-1,3,1,0,1,0,2,2,2,-1,2,2,2,1,0,1,3,3,0,2,2,96176.0,642,99435.0
1,0,-1,2,3,3,0,-1,1,0,3,0,2,2,0,2,2,-1,2,2,0,3,2,-1,-1,2,1,1,1,-1,-1,1,2,2,0,0,-1,1,1,0,-1,1,-1,3,0,2,0,0,0,2,96657.0,586,99505.0
2,-1,3,0,1,-1,-1,3,1,2,0,0,0,1,1,2,2,1,2,0,-1,3,3,3,0,-1,0,-1,0,0,-1,1,3,2,1,3,-1,1,2,1,-1,3,-1,-1,1,1,1,3,2,3,96678.0,564,99515.0
3,1,-1,0,0,-1,1,1,3,2,1,1,0,1,2,3,0,1,2,-1,0,0,2,-1,-1,1,1,2,3,2,2,2,2,2,0,1,1,0,3,3,2,2,1,-1,0,0,-1,0,2,3,96309.0,633,99440.0
-1,1,0,0,2,1,0,2,0,3,1,2,3,2,1,1,2,2,2,1,3,1,0,3,-1,3,0,2,0,3,0,2,0,2,0,1,0,-1,2,0,2,2,1,1,3,0,2,1,1,1,96029.0,687,99410.0
0,3,0,2,2,0,0,0,-1,1,3,-1,0,2,1,0,3,0,0,-1,2,3,0,2,-1,2,3,3,3,1,1,1,1,-1,0,2,2,2,3,2,1,-1,1,0,1,2,3,0,2,-1,96263.0,634,99456.0
1,2,0,2,0,-1,1,1,-1,2,3,0,-1,0,2,0,2,2,2,0,0,3,2,3,1,-1,0,1,1,1,1,3,0,0,0,3,0,-1,2,3,-1,1,0,-1,1,1,1,0,1,-1,96198.0,604,99466.0
1,2,-1,-1,3,3,3,3,2,3,3,-1,1,-1,0,0,2,2,3,3,2,-1,1,2,1,1,3,0,2,1,2,1,0,-1,0,0,1,-1,0,2,2,2,0,1,3,3,3,2,0,0,96370.0,637,99453.0
