$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
-1,-1,2,0,-1,0,3,3,1,1,2,3,0,0,0,2,1,2,1,-1,0,1,3,1,1,2,3,2,2,2,0,3,0,-1,-1,3,0,-1,-1,3,1,1,-1,1,1,2,-1,1,0,2,94777.0,581,99535.0
0,0,0,1,2,2,0,1,-1,-1,1,3,1,-1,0,2,1,-1,2,0,3,1,3,2,1,-1,3,3,3,0,3,-1,0,-1,2,-1,1,3,2,2,2,3,2,1,-1,-1,0,2,1,1,94564.0,598,99527.0
1,3,0,-1,2,1,2,3,0,1,2,3,-1,-1,0,-1,-1,2,-1,0,2,3,0,-1,0,-1,1,0,0,1,1,3,0,1,2,-1,0,3,3,1,2,2,2,0,0,1,3,3,2,3,94665.0,599,99523.0
0,2,3,2,3,1,-1,1,2,1,1,3,1,0,-1,-1,-1,0,0,1,3,2,2,2,-1,-1,1,3,1,-1,-1,-1,0,1,3,0,-1,3,-1,0,2,2,3,-1,0,3,1,2,0,-1,95126.0,548,99565.0
2,0,-1,-1,2,-1,1,3,0,1,-1,1,2,-1,2,0,1,-1,2,2,1,-1,3,3,-1,0,3,1,0,0,2,2,0,0,2,2,2,3,-1,0,1,-1,1,3,0,1,0,3,1,3,94883.0,587,99537.0
1,2,3,0,0,-1,0,-1,2,1,-1,0,0,1,0,2,3,3,3,0,3,2,0,2,3,1,-1,2,0,1,3,1,2,1,2,2,2,-1,-1,1,-1,-1,3,1,1,1,3,1,0,2,94557.0,609,99521.0
0,3,1,1,1,1,3,1,0,0,1,-1,3,3,2,-1,2,-1,0,-1,-1,3,2,3,0,2,2,1,0,3,3,-1,2,1,1,2,-1,1,2,0,2,2,0,0,0,3,0,3,2,-1,94842.0,620,99528.0
3,3,2,-1,2,2,-1,0,2,1,1,1,1,0,1,1,-1,2,0,0,-1,-1,-1,2,0,-1,3,-1,-1,3,0,1,-1,0,3,1,1,0,2,3,2,0,2,2,2,-1,1,3,1,3,94559.0,555,99529.0
3,2,0,1,2,0,1,0,1,0,2,1,-1,1,0,1,0,0,0,3,2,2,3,2,0,-1,-1,3,-1,3,3,-1,1,-1,1,3,0,-1,3,0,1,1,-1,2,2,3,2,1,2,1,94186.0,603,99505.0
2,1,3,3,2,1,3,0,-1,0,2,2,-1,1,1,1,2,0,2,2,3,0,-1,0,3,3,-1,2,3,-1,0,-1,-1,1,0,2,-1,1,3,-1,-1,-1,1,2,-1,0,1,2,-1,1,95170.0,554,99570.0
-1,1,1,0,2,0,1,3,-1,3,2,-1,-1,3,2,-1,0,1,3,2,0,0,1,3,2,3,1,-1,2,-1,1,0,0,0,3,2,2,0,1,1,0,-1,2,3,-1,2,3,0,-1,1,94819.0,589,99547.0
