$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
0,0,-1,-1,1,3,0,3,1,3,1,2,-1,0,2,0,1,0,1,2,0,0,1,0,2,3,1,2,1,0,-1,3,2,1,1,-1,3,2,0,0,3,2,-1,3,0,-1,-1,1,1,2,96414.0,636,99452.0
2,1,2,-1,-1,1,0,-1,-1,1,0,0,-1,1,-1,-1,2,0,1,2,-1,3,-1,0,0,2,1,1,3,1,-1,3,1,-1,2,3,2,0,1,1,1,0,1,0,2,3,0,1,2,3,96599.0,575,99484.0
0,-1,2,0,0,0,2,2,1,1,-1,2,0,-1,3,1,1,2,2,2,3,0,1,-1,1,0,2,0,2,3,2,-1,0,-1,1,0,1,3,0,1,2,1,3,3,1,2,-1,0,1,0,96375.0,645,99428.0
1,0,3,2,2,3,1,0,1,0,2,3,1,0,2,2,2,3,-1,1,2,1,-1,2,0,1,1,3,-1,1,3,2,3,-1,2,-1,0,3,0,3,1,-1,2,3,2,3,3,2,1,0,96625.0,665,99410.0
3,1,3,0,3,0,2,1,2,-1,3,1,0,0,1,0,-1,2,1,2,1,0,3,3,1,2,0,2,2,2,0,-1,2,1,-1,3,0,2,-1,-1,2,2,1,0,1,1,1,0,1,2,96318.0,663,99411.0
2,-1,0,0,2,-1,-1,3,2,0,0,2,0,0,2,0,2,-1,1,0,1,1,2,-1,3,2,2,-1,0,1,0,1,1,1,2,2,-1,3,0,1,1,2,-1,0,3,-1,0,2,1,-1,96600.0,615,99478.0
2,-1,0,3,1,-1,0,1,1,1,2,2,2,1,0,-1,3,0,1,2,2,-1,0,1,0,3,1,0,1,2,3,0,3,0,2,0,3,1,2,2,2,2,2,3,0,1,1,2,0,3,96249.0,706,99391.0
2,1,3,1,1,0,1,3,-1,2,0,-1,0,3,0,2,-1,3,1,-1,1,2,3,3,0,3,0,1,0,2,-1,2,3,-1,0,2,1,1,1,0,0,2,1,0,0,3,1,2,3,-1,96578.0,642,99437.0
3,2,2,2,0,3,1,2,-1,2,3,1,-1,0,-1,0,0,-1,0,1,1,2,2,0,3,2,0,0,1,1,2,1,-1,3,1,2,0,-1,1,-1,-1,2,0,1,-1,0,0,0,1,1,96328.0,619,99455.0
1,2,1,3,3,-1,2,3,2,0,0,0,2,1,3,3,1,3,3,2,1,1,3,0,2,3,3,-1,2,2,-1,0,0,2,1,0,2,3,0,1,2,0,3,1,0,1,-1,2,2,-1,96511.0,687,99409.0
1,-1,2,2,3,1,2,1,2,1,0,0,1,0,1,-1,1,3,1,3,2,1,-1,1,1,0,-1,1,0,1,2,2,0,0,3,3,2,0,0,0,1,0,3,-1,2,3,0,2,-1,3,96418.0,666,99421.0
2,3,2,3,1,2,3,0,1,0,0,1,1,2,-1,3,-1,1,0,2,0,0,0,0,-1,1,3,0,3,1,2,0,2,2,1,1,1,-1,0,-1,2,2,2,2,1,0,2,2,3,1,96059.0,681,99399.0
2,0,1,-1,2,3,1,1,3,0,2,-1,1,2,-1,-1,-1,1,-1,2,3,1,-1,-1,3,3,2,-1,-1,2,2,2,0,0,3,1,1,2,1,3,0,0,1,-1,1,0,3,2,3,1,96965.0,581,99501.0
1,0,0,0,1,2,2,2,1,3,0,2,1,-1,0,1,3,1,3,2,3,0,0,0,3,2,1,2,0,2,1,3,-1,3,2,1,0,2,-1,3,1,3,3,-1,-1,1,-1,2,1,3,96547.0,675,99419.0
0,1,2,3,2,0,2,2,1,-1,3,-1,0,2,2,2,-1,2,1,0,0,1,3,2,0,1,-1,3,1,0,2,0,3,1,1,-1,0,2,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,3,96861.0,578,99493.0
1,-1,0,3,2,1,3,1,0,0,3,2,0,3,3,2,1,1,1,3,-1,0,0,1,1,1,2,-1,2,1,2,1,2,0,1,1,2,2,2,0,-1,2,2,3,3,0,0,0,1,0,96142.0,698,99381.0
1,2,2,1,0,2,1,0,0,1,-1,-1,0,2,1,2,2,3,2,1,0,0,1,3,2,0,3,1,1,0,0,3,1,0,-1,-1,2,1,0,1,2,0,0,2,2,-1,-1,-1,-1,3,96458.0,636,99441.0
-1,0,2,-1,3,2,2,0,2,3,2,2,0,0,0,0,2,0,0,1,-1,1,3,1,2,-1,0,3,-1,2,2,-1,1,0,0,1,2,-1,1,2,1,-1,1,1,2,1,1,1,0,3,96298.0,633,99434.0
0,0,3,0,1,1,3,2,0,0,1,2,0,3,3,-1,3,1,-1,3,1,-1,2,2,3,-1,2,2,2,3,2,1,0,2,-1,0,1,3,1,3,1,2,-1,0,1,1,2,2,-1,0,96480.0,655,99437.0
0,1,-1,0,-1,3,3,1,3,2,1,-1,0,2,1,1,2,0,1,1,-1,2,0,2,1,1,0,3,-1,2,3,3,2,2,2,1,2,0,0,0,1,-1,0,1,1,0,3,-1,3,0,96270.0,653,99413.0
0,3,1,0,0,0,2,3,2,2,1,2,1,1,2,2,3,2,0,0,3,0,2,1,1,1,1,-1,0,2,3,0,0,-1,-1,1,3,3,3,2,3,3,1,0,2,0,2,-1,0,1,96298.0,698,99384.0
3,0,-1,3,0,2,1,2,2,0,0,0,0,2,0,-1,1,2,0,2,-1,3,2,0,2,-1,1,0,3,0,0,0,-1,1,0,2,1,1,2,2,1,1,-1,-1,3,1,-1,2,1,1,96366.0,634,99442.0
2,3,1,0,2,-1,3,0,-1,1,-1,0,3,0,0,2,2,-1,3,1,2,0,-1,2,3,2,-1,2,0,0,3,2,1,2,0,3,-1,2,0,3,0,3,1,2,3,0,0,-1,-1,-1,96880.0,602,99481.0
1,2,0,-1,1,1,-1,3,0,2,-1,0,3,1,2,2,0,1,0,2,2,3,3,2,1,3,1,1,-1,-1,2,2,0,0,1,1,0,3,1,1,0,1,2,3,1,3,3,0,2,2,96267.0,679,99397.0
0,-1,0,1,1,3,3,-1,1,2,1,0,2,1,1,2,2,0,1,3,0,2,1,0,-1,3,3,0,3,1,-1,0,0,3,2,-1,2,0,3,0,-1,1,0,3,0,0,1,2,1,2,96163.0,678,99417.0
3,2,1,0,0,1,-1,3,1,2,1,1,3,2,1,0,-1,3,1,2,-1,-1,2,0,0,0,-1,1,3,2,3,-1,-1,2,1,-1,2,-1,2,-1,2,1,1,3,1,2,-1,1,-1,-1,97057.0,535,99505.0
0,0,-1,-1,3,0,0,2,-1,-1,0,0,0,-1,3,2,0,2,1,2,3,3,3,-1,1,2,0,0,3,0,2,0,1,3,2,2,1,1,1,2,0,-1,1,2,1,3,1,-1,1,3,96487.0,634,99449.0
2,-1,0,3,0,3,0,-1,3,1,0,3,3,1,0,2,-1,-1,0,-1,2,3,1,1,2,0,3,3,1,2,2,-1,1,0,2,1,0,1,-1,-1,2,3,-1,3,1,3,0,2,2,-1,96924.0,603,99485.0
0,2,0,0,2,1,2,0,-1,2,3,1,-1,1,3,3,0,2,3,0,1,1,0,1,0,2,0,3,2,1,2,1,2,3,1,0,2,2,-1,1,0,2,2,-1,-1,0,0,1,1,2,96276.0,685,99407.0
