$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
1,0,3,1,1,3,2,-1,-1,3,2,0,2,1,-1,-1,-1,3,0,1,-1,2,0,1,0,2,1,-1,2,3,3,0,0,2,3,-1,1,1,1,1,2,0,-1,3,2,3,2,0,0,2,95578.0,582,99476.0
0,3,-1,-1,2,-1,0,1,2,3,2,0,1,3,2,3,0,3,0,1,-1,2,-1,0,0,-1,3,1,3,2,2,1,1,0,2,0,-1,2,2,-1,3,0,2,0,1,2,3,1,1,-1,95594.0,571,99486.0
2,3,-1,1,0,1,-1,1,0,3,1,1,1,3,2,2,2,3,2,2,-1,0,3,-1,-1,2,-1,-1,-1,0,-1,3,0,2,1,0,2,1,0,2,-1,0,3,1,0,-1,1,0,2,0,95792.0,541,99505.0
3,2,1,0,-1,2,2,-1,2,1,3,3,-1,0,-1,2,0,1,2,0,2,3,3,2,2,2,3,-1,-1,-1,1,1,0,1,0,1,1,0,3,-1,1,0,-1,0,2,1,-1,-1,1,0,95735.0,536,99510.0
1,3,3,2,1,-1,1,2,0,-1,0,1,2,2,3,3,0,0,-1,0,1,0,1,2,2,-1,3,0,-1,0,0,0,3,2,2,0,1,-1,0,-1,3,1,1,2,1,-1,3,3,2,1,95347.0,580,99460.0
0,-1,1,1,3,1,0,-1,1,3,0,-1,-1,0,1,0,2,1,2,2,0,1,3,0,-1,0,-1,3,3,2,2,1,-1,2,2,3,3,-1,-1,1,2,1,3,1,2,0,2,0,2,3,95605.0,566,99478.0
3,3,3,2,-1,-1,1,1,3,3,3,0,1,-1,0,3,2,0,3,0,-1,2,-1,0,1,2,2,1,0,3,-1,1,1,-1,1,-1,2,-1,0,1,1,-1,2,2,1,2,2,-1,-1,3,95974.0,532,99512.0
0,-1,2,3,-1,-1,0,1,0,-1,1,3,2,0,-1,2,3,1,2,-1,2,2,0,0,2,-1,2,0,2,-1,2,-1,-1,0,-1,-1,2,0,-1,1,1,3,1,1,2,0,1,-1,1,0,95793.0,496,99543.0
2,2,0,1,3,1,-1,-1,-1,-1,3,3,2,3,0,3,0,2,0,2,-1,2,1,2,3,3,0,1,0,0,0,1,1,-1,0,-1,3,1,-1,-1,1,1,0,2,2,-1,3,3,1,-1,95609.0,547,99485.0
0,3,-1,0,-1,3,2,-1,0,1,0,0,-1,1,2,-1,-1,0,2,2,-1,1,3,2,3,-1,-1,1,-1,1,3,-1,1,2,3,2,1,0,0,-1,-1,3,2,3,3,-1,2,2,0,1,96176.0,503,99551.0
0,0,1,2,1,3,1,3,2,2,2,3,-1,-1,0,1,3,-1,0,2,2,1,3,1,1,3,3,2,3,1,3,0,0,-1,-1,0,-1,0,1,0,0,2,1,2,1,-1,-1,-1,3,2,95401.0,576,99469.0
2,3,3,1,-1,-1,0,-1,-1,3,3,3,1,-1,2,3,1,2,1,-1,0,-1,0,3,1,2,-1,0,1,3,2,0,2,0,2,-1,0,1,0,1,2,3,0,-1,1,0,-1,1,3,3,95751.0,551,99489.0
0,1,3,-1,3,3,3,2,0,-1,0,0,2,0,1,3,0,0,3,1,0,2,1,-1,1,0,0,0,-1,2,3,-1,2,-1,2,-1,1,-1,1,1,1,2,3,2,2,1,1,2,-1,2,95515.0,562,99484.0
0,0,0,2,0,-1,3,0,-1,0,2,3,1,1,-1,-1,0,-1,1,1,0,1,-1,0,3,2,2,-1,2,2,2,2,3,-1,-1,2,-1,3,3,3,1,2,1,1,1,0,1,-1,3,2,95689.0,547,99498.0
2,3,2,2,-1,1,3,1,0,0,1,0,0,1,0,2,-1,2,0,1,3,1,-1,1,0,-1,3,1,0,-1,0,2,3,0,-1,3,-1,2,1,2,2,2,1,3,0,-1,-1,-1,3,-1,95602.0,548,99495.0
1,2,3,3,0,-1,-1,2,2,0,0,1,-1,0,1,3,2,3,1,2,2,-1,3,3,1,1,0,1,0,-1,1,3,-1,3,0,2,0,2,1,2,0,-1,-1,1,0,1,0,-1,2,-1,95680.0,554,99477.0
2,-1,-1,1,0,0,3,0,0,3,1,1,1,0,-1,0,1,-1,3,1,3,0,3,3,0,2,2,0,-1,3,2,-1,0,2,-1,3,3,2,3,1,1,0,2,1,1,2,-1,1,3,0,95602.0,572,99478.0
-1,-1,2,2,3,2,0,0,2,3,0,-1,-1,1,-1,1,2,0,-1,1,0,1,3,3,1,3,1,2,2,3,0,0,1,1,-1,1,0,2,3,-1,2,3,0,3,0,-1,1,3,2,0,95649.0,567,99478.0
3,3,2,2,1,0,-1,3,1,-1,0,1,3,0,3,1,2,1,1,3,3,-1,1,1,0,2,2,0,0,0,-1,3,-1,-1,0,3,3,-1,0,2,-1,-1,0,0,-1,-1,3,0,2,1,95694.0,541,99486.0
-1,1,2,-1,1,3,0,-1,-1,0,2,1,3,-1,0,2,2,1,1,-1,1,-1,0,1,-1,0,0,-1,3,-1,1,1,3,-1,3,0,2,0,-1,2,2,0,1,2,-1,2,2,3,2,1,95738.0,538,99510.0
0,-1,2,0,2,1,2,3,0,0,3,-1,2,-1,2,-1,1,-1,-1,2,2,2,-1,-1,2,3,1,-1,-1,0,1,3,2,1,1,1,1,2,3,-1,3,1,0,-1,1,1,3,-1,3,3,96508.0,503,99550.0
2,2,0,1,-1,3,3,3,1,-1,1,2,2,2,-1,2,1,-1,-1,-1,0,1,2,0,0,0,3,0,-1,2,2,1,-1,-1,1,-1,1,0,0,0,0,-1,0,1,1,-1,3,-1,1,2,95546.0,515,99530.0
3,3,0,2,3,-1,1,2,2,0,1,-1,2,0,0,0,3,3,2,-1,-1,2,2,2,3,3,0,0,1,3,1,0,1,0,-1,1,0,-1,2,3,-1,3,1,1,3,2,-1,1,2,1,95584.0,591,99471.0
1,3,0,-1,2,-1,1,0,0,1,1,2,3,-1,2,-1,2,-1,1,0,2,0,3,0,2,1,1,3,3,0,3,-1,0,1,0,2,1,1,3,-1,-1,-1,-1,2,2,-1,2,3,0,2,95676.0,545,99502.0
