Generation, o25, o50, o75, n25, n50, n75 
0,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
1,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
2,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
3,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
4,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
5,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
6,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
7,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
8,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
9,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
10,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
11,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
12,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
13,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
14,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
15,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
16,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
17,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
18,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
19,7866.54751526,8002.02122715,9752.36998005,175.752922429,178.796872071,218.12533945
