Generation, o25, o50, o75, n25, n50, n75 
0,42.4931250914,44.383194691,65.7435003502,-0.969504573847,-0.968148154949,-0.952818813498
1,19.3387035978,25.154749522,38.9557415236,-0.986121472445,-0.981947554933,-0.972043196721
2,95.7457170083,202.703540881,234.188686005,-0.93128755684,-0.854528683201,-0.831933194732
3,42.3835441557,156.273902647,351.048368809,-0.969583215211,-0.887849169775,-0.748068197286
4,30.6402132086,36.9587707592,179.705873616,-0.978010881591,-0.973476333831,-0.871033086261
5,33.7737341083,309.180805801,582.877645295,-0.975762092993,-0.778114685352,-0.581694635303
6,24.4589601082,27.0468720517,30.0181797831,-0.982446892052,-0.980589662738,-0.978457287317
7,33.4846743246,47.3461812178,100.140788831,-0.975969538345,-0.966021751287,-0.928133409248
8,42.0588274265,59.9353546149,86.0276526848,-0.969816249967,-0.956987061397,-0.93826177943
9,4.88893036878,9.77786073756,88.4721608129,-0.996491432091,-0.992982864183,-0.936507464657
10,219.406514989,426.138799769,632.871084548,-0.842541701487,-0.694179134356,-0.545816567225
11,19.4876586323,23.1197773895,26.7518961468,-0.986014574041,-0.983407963934,-0.980801353827
12,131.48486995,251.902797617,372.320725284,-0.905639156141,-0.819220564597,-0.732801973054
13,449.040381678,449.040381678,449.040381678,-0.677743687483,-0.677743687483,-0.677743687483
14,178.711433152,178.711433152,178.711433152,-0.871746751958,-0.871746751958,-0.871746751958
15,43.6379954856,43.6379954856,43.6379954856,-0.968682951279,-0.968682951279,-0.968682951279
16,25.8313812754,25.8313812754,25.8313812754,-0.981461966414,-0.981461966414,-0.981461966414
17,71.8410648976,71.8410648976,71.8410648976,-0.948442862589,-0.948442862589,-0.948442862589
