Generation, o25, o50, o75, n25, n50, n75 
0,3880.49318871,6093.58319951,6093.58319951,86.1905381923,135.916307502,135.916307502
1,576.637666712,939.364655736,2238.95367884,11.9564326125,20.1065207203,49.3068983123
2,3393.55359812,4159.76045291,4159.76045291,75.2495255669,92.4653754053,92.4653754053
3,550.059130819,1998.03908405,1998.03908405,11.3592412927,43.8938046263,43.8938046263
4,534.471794909,534.471794909,832.325376562,11.0090104996,11.0090104996,17.7014624184
5,3350.63027906,11183.5285523,12163.6288598,74.2850844229,250.281944316,272.303751633
6,2470.41861924,4713.49947571,4918.5508004,54.5076683549,104.907299941,109.514584244
7,3186.02769833,4414.72585787,5643.42401742,70.5866402037,98.1941757918,125.80171138
8,1485.52274972,2033.22789616,2580.93304259,32.3781098811,44.6844596583,56.9908094355
9,540.2620329,546.691354494,553.120676087,11.1391109642,11.2835709549,11.4280309456
10,1732.67212457,3465.34424915,5198.01637372,37.9312924172,76.8625848343,115.793877252
