Generation, o25, o50, o75, n25, n50, n75 
0,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
1,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
2,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
3,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
4,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
5,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
6,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
7,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
8,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
9,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
10,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
11,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
12,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
13,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
14,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
15,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
16,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
17,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
18,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
19,13282.6443215,14402.0195028,15392.2179185,372.637621017,404.125378248,431.97942383
